Name,"Release Date","Last Update","Current Price"
"Evil Genius","2004-09-28 17:24:08","2020-09-25 17:24:08",9.99
Expendable,"1999-05-15 17:24:16","2021-09-28 07:35:32",2.99
"Fables Interactives","2014-07-31 17:24:19","2020-09-25 17:24:19",4.99
"Faces Of War","2006-09-08 17:24:11","2020-09-25 17:24:11",4.99
"Fall of Light","2017-09-28 17:24:28","2020-09-25 17:24:28",14.99
"Fall of the New Age - Premium Edition","2014-01-03 12:00:00","2021-04-18 11:04:31",6.99
"Fallen Haven: Liberation Day","1998-01-01 17:24:37","2020-09-25 19:24:00",5.99
"Fantasy Wars","2010-08-06 17:24:11","2020-09-25 17:24:11",4.99
"Fleet Command","1999-05-15 17:24:17","2021-09-21 13:23:32",9.99
"Flyboys: Squadron","2006-11-21 17:24:25","2020-09-25 17:24:25",14.99
"Fragile Allegiance","1997-03-31 17:24:09","2020-09-25 17:24:09",4.99
"Freight Tycoon Inc.","2007-08-15 17:24:11","2020-09-25 17:24:11",4.99
"FunPack: Chloe's Closet","2015-08-31 17:24:25","2020-09-25 17:24:25",3.99
"FunPack: Dive Olly Dive","2015-08-31 17:24:25","2020-09-25 17:24:25",3.99
"FunPack: Kids","2015-08-31 17:24:24","2020-09-25 17:24:24",3.99
"FunPack: Mums","2015-08-31 17:24:25","2021-07-13 18:00:22",3.99
"Galactic Assault: Prisoner Of Power","2007-08-22 17:24:21","2020-09-25 17:24:21",5.99
"Gift of Parthax","2018-09-12 17:24:28","2020-09-25 17:24:28",6.99
"Glacier 3: The Meltdown","2010-09-06 17:24:38","2020-09-25 17:24:38",2.99
"Golden Path of Plumeboom","2007-08-31 17:24:00","2021-02-24 12:14:00",2.99
Gomo,"2013-12-06 17:24:49","2020-09-25 17:24:49",7.99
"Gorky 17","1999-09-29 17:24:18","2020-09-25 17:24:18",4.99
"Great Battles Trilogy - Collector's Edition","1997-01-02 17:24:38","2020-09-25 17:24:38",5.99
"Green Ranch","2016-10-21 17:24:31","2020-09-25 17:24:31",6.99
"Ground Control Anthology","2001-01-17 17:24:22","2021-08-31 10:09:14",5.99
"Ground Control 2: Operation Exodus Special Edition","2004-06-22 17:24:22","2020-09-25 17:24:22",5.99
"Guilty Gear Isuka","2006-06-20 17:24:39","2020-09-25 17:24:39",9.99
"Guilty Gear X2 #Reload","2004-07-23 17:24:39","2020-09-25 17:24:39",9.99
"Gun Metal","2003-09-23 17:24:38","2020-09-25 17:24:38",2.99
"Haegemonia: Gold Edition","2002-11-13 17:24:26","2020-09-25 17:24:26",9.99
Haimrik,"2018-06-19 17:24:28","2020-09-25 17:24:28",19.99
"Hard Truck 2: King of the Road","2001-06-27 17:24:53","2020-12-23 11:24:47",4.99
Hardwar,"1998-09-11 07:00:00","2021-09-17 07:32:59",9.99
Hexus,"2012-01-12 17:24:38","2021-07-13 18:00:33",2.99
Hind,"1996-01-02 17:24:38","2020-09-25 17:24:38",5.99
"Hocus Pocus","1994-06-01 17:24:33","2021-08-18 02:21:37",4.99
"Hogs of War","2000-06-08 17:24:09","2020-09-25 17:24:09",4.99
"Hostile Waters: Antaeus Rising","2001-06-14 17:24:47","2020-09-25 17:24:47",2.99
"Hyper Fighters","2011-06-14 17:24:38","2020-09-25 17:24:38",2.99
"I.G.I. 2: Covert Strike","2003-03-03 17:24:26","2021-07-29 03:09:15",9.99
"IL-2 Sturmovik 1946: Ultimate Edition","2006-12-15 17:24:09","2021-05-28 12:57:54",9.99
"Imperial Glory","2005-07-08 17:24:03","2020-09-25 17:24:03",5.99
"In Fear I Trust: Episodes 1-4 Collection","2016-09-22 11:00:00","2021-04-18 11:42:46",12.99
"Incoming Double Pack","1998-07-09 17:24:19","2021-09-28 07:36:12",2.99
"Incoming Trilogy","1998-07-09 17:24:16","2021-08-21 09:12:58",5.99
"Iron Storm","2002-10-25 17:24:38","2020-09-25 17:24:38",4.99
"Jack Keane","2008-04-15 17:24:38","2020-09-25 17:24:38",5.99
"Jack Orlando - A Cinematic Adventure - Director's Cut","2012-01-26 17:24:38","2020-09-25 17:24:38",5.99
"Jagged Alliance 2 - Wildfire","2004-03-08 17:24:39","2020-09-25 17:24:39",5.99
"Jane Angel: Templar Mystery","2009-12-10 17:24:39","2020-09-25 17:24:39",2.99
"Journey of a Roach","2013-11-04 17:24:50","2020-09-25 17:24:50",6.99
"Judge Dredd (1995)","1995-06-02 17:24:28","2020-09-25 17:24:28",5.99
"Judge Dredd: Dredd vs Death","2003-10-17 17:24:21","2020-09-25 17:24:21",5.99
"Kaan - Barbarian's Blade","2002-11-01 17:24:39","2021-07-28 05:20:18",5.99
"Ken Follett's The Pillars of the Earth - Complete Edition","2017-08-15 17:24:50","2020-10-07 20:38:51",29.99
"Kid's Zoo: A Baby Animal Adventure","1993-01-01 17:24:39","2020-09-25 17:24:39",4.99
"Killing Time","1996-10-31 17:24:22","2021-09-25 08:35:09",0
"King's Bounty: Armored Princess","2009-11-19 17:24:13","2020-09-25 17:24:13",9.99
"King's Bounty: Crossworlds GOTY Edition","2009-11-19 17:24:13","2020-09-25 17:24:13",14.99
"King's Bounty: Dark Side - Premium Edition","2014-08-19 17:24:20","2020-09-25 17:24:20",14.99
"King's Bounty: The Legend","2008-09-23 17:24:13","2020-09-25 17:24:13",6.99
"King's Bounty: Warriors of the North - Complete Edition","2012-10-26 17:24:17","2020-09-25 17:24:17",14.99
"Knights and Merchants - The Peasants Rebellion","2001-11-27 17:24:31","2020-09-25 17:24:31",6.99
KnightShift,"2003-12-31 17:24:39","2020-09-25 17:24:39",6.99
"Konung 2: Blood of Titans","2004-11-30 17:24:13","2020-09-25 17:24:13",2.99
"Konung 3: Ties of the Dynasty","2010-06-17 17:24:13","2020-09-25 17:24:13",2.99
"Konung: Legends of the North","1999-09-06 17:24:28","2021-09-07 11:20:10",2.99
"Legacy: Witch Island 2","2019-02-06 17:24:51","2020-09-25 17:24:51",9.99
"Legacy: Witch Island Origin","2019-09-23 17:24:51","2020-09-25 17:24:51",9.99
"Leisure Suit Larry 1-6 Collection (+ Softporn Adventure)","2017-12-18 17:24:39","2021-07-29 03:12:42",9.99
"Leisure Suit Larry: Love For Sail!","1996-12-31 17:24:23","2021-07-29 03:14:39",5.99
"Leisure Suit Larry: Magna Cum Laude","2004-10-04 17:24:16","2021-07-29 03:16:10",4.99
"Lemuria - Lost In Space","2017-03-17 17:24:31","2020-09-25 17:24:31",11.99
"Litil Divil","1993-01-01 17:24:40","2021-09-28 07:36:46",2.99
"Lords Of Magic: Special Edition","1998-11-07 17:24:24","2020-09-25 17:24:24",5.99
"Lords Of The Realm III","2004-03-17 17:24:22","2021-08-31 10:11:38",5.99
"Lords of the Realm: Royal Edition","1997-11-30 12:00:00","2021-04-22 18:59:17",4.99
Lucius,"2012-10-26 17:24:01","2020-09-25 17:24:01",4.99
"M4 Tank Brigade","2015-08-17 17:24:25","2020-09-25 17:24:25",14.99
"Madness of the Architect","2018-02-02 17:24:40","2020-09-25 17:24:40",2.99
"Mahjong Secrets","2015-07-21 17:24:40","2020-09-25 17:24:40",5.99
"Major Stryker","1993-01-23 19:00:00","2021-09-24 22:55:36",0
"Marcus Level","2014-07-09 17:24:06","2020-09-25 17:24:06",9.99
"Margot's Word Brain","2008-11-03 17:24:40","2020-09-25 17:24:40",2.99
"Marine Sharpshooter 2: Jungle Warfare","2004-06-22 17:24:40","2020-09-25 17:24:40",2.99
"Massive Assault","2003-10-28 17:24:40","2020-09-25 17:24:40",9.99
"Massive Assault - Phantom Renaissance","2005-03-03 17:24:40","2020-09-25 17:24:40",9.99
"Master Of Orion 1+2","1993-09-06 17:24:17","2020-09-25 17:24:17",5.99
"Master of Orion 3","2003-02-25 17:24:31","2020-09-25 17:24:31",9.99
"Math Rescue","1992-10-01 19:00:00","2021-09-24 22:58:15",4.99
MegaRace,"1994-03-28 17:23:57","2021-08-26 13:52:08",2.99
"MegaRace 2","1996-08-31 17:23:57","2021-02-07 06:23:29",2.99
"MegaRace 3","2002-01-09 17:23:57","2021-02-07 06:24:00",2.99
Memoria,"2013-08-30 17:24:12","2020-09-25 17:24:12",19.99
"Men of War","2009-05-06 17:24:52","2020-09-25 17:24:52",4.99
"Men of War: Assault Squad: GOTY","2012-02-09 17:24:18","2020-09-25 17:24:18",14.99
"Men of War: Condemned Heroes","2012-04-12 17:24:14","2020-09-25 17:24:14",7.99
"Men of War: Red Tide","2009-11-02 17:24:52","2020-09-25 17:24:52",4.99
"Men of War: Vietnam: Special Edition","2011-09-08 17:24:19","2020-09-25 17:24:19",14.99
"Midnight GT: Primary Racer","2002-04-19 17:24:41","2020-09-25 17:24:41",2.99
"Mini Metal","2016-04-23 17:24:32","2020-09-25 17:24:32",9.99
"Mobile Forces","2002-05-31 17:24:41","2021-09-28 07:37:20",2.99
"Monster Bash","1993-04-09 17:24:49","2021-08-18 02:22:27",4.99
"Monuments of Mars","1990-01-01 17:24:41","2021-09-08 23:08:41",0
"Moonbase Commander","2002-08-13 17:24:22","2020-09-25 17:24:22",5.99
"Moto Racer","1997-08-31 17:24:07","2021-08-31 10:13:03",4.99
"Moto Racer: 15th Anniversary - Gold Edition","2011-11-30 17:24:07","2021-02-24 16:43:36",4.99
"Moto Racer 2","1998-11-30 17:24:07","2020-09-25 17:24:07",4.99
"Moto Racer 3 - Gold Edition","2002-01-31 17:24:07","2021-02-24 12:17:16",4.99
"Mr. Travel","2014-04-15 17:23:57","2021-01-30 05:05:46",4.99
"My Puzzles","2014-07-19 17:24:52","2020-09-25 17:24:52",3.99
"Mystery Castle: The Mirror's Secret","2015-12-18 12:00:00","2021-04-18 11:57:52",6.99
"Mystic Towers","1994-07-15 19:00:00","2021-09-24 23:04:00",4.99
"Namariel Legends: Iron Lord - Premium Edition","2013-06-05 11:00:00","2021-04-18 19:11:13",6.99
"Naval Warfare","2011-05-25 17:24:32","2020-09-25 17:24:32",3.49
"Necronomicon - The Dawning of Darkness","2001-06-09 17:24:41","2020-09-25 17:24:41",4.99
"NecroVisioN: Hardcore Edition (Original + Lost Company)","2009-05-20 17:24:14","2020-09-25 17:24:14",9.99
Normality,"1996-06-30 17:24:41","2021-09-28 07:38:04",2.99
"Nosferatu: The Wrath of Malachi","2003-10-21 17:24:41","2020-09-25 17:24:41",2.99
"Nostradamus: The Last Prophecy","2014-04-24 17:24:41","2021-04-20 19:19:05",4.99
"NyxQuest: Kindred Spirits","2010-09-27 17:24:42","2020-11-14 10:01:10",2.99
"Oddworld: Abe's Exoddus","1998-11-30 17:23:58","2020-09-25 17:23:58",5.99
"Oddworld: Abe's Oddysee","1997-10-31 17:23:58","2020-09-27 20:34:37",5.99
"Oddworld: Munch's Oddysee","2001-11-15 17:23:59","2020-09-25 17:23:59",9.99
"Oddworld: New 'n' Tasty","2015-02-25 17:24:20","2020-09-25 17:24:20",19.99
"Oddworld: New 'n' Tasty: Alf's Escape (DLC)","2015-02-25 17:24:21","2021-05-18 14:28:38",2.99
"Oddworld: New 'n' Tasty: Scrub Abe (DLC)","2015-02-25 17:24:21","2021-05-18 14:28:44",0.99
"Oddworld: Stranger's Wrath HD","2005-01-25 17:23:59","2020-09-25 17:23:59",9.99
"Odysseus: Long Way Home","2015-02-23 17:24:52","2020-09-25 17:24:52",3.99
"Off-Road Drive","2011-09-29 17:24:14","2020-09-27 19:29:49",4.99
"Open Kart","2001-06-08 17:24:49","2021-07-28 05:23:04",5.99
"Order of War","2009-09-22 17:24:42","2021-03-19 10:46:17",9.99
"Outcast 1.1","1999-07-31 17:24:08","2020-09-25 17:24:08",5.99
"Overlord I + Raising Hell","2007-06-26 17:24:26","2021-07-29 03:19:04",9.99
"Overlord II","2009-06-23 17:24:27","2021-07-29 03:22:31",9.99
Paganitzu,"1991-10-01 19:00:00","2021-09-24 23:06:01",4.99
"Parkan 2","2007-05-11 17:24:14","2020-09-25 17:24:14",3.99
"Parkan: Iron Strategy","2001-02-14 17:24:49","2021-05-03 17:26:59",4.99
"Pearl Diversion","2007-06-10 17:24:00","2020-09-25 17:24:00",2.99
Perimeter,"2004-05-21 17:24:14","2021-09-07 10:39:42",3.99
"Perimeter: Emperor's Testament","2006-08-29 17:24:32","2021-09-07 10:38:39",3.99
"Pharaoh's Tomb","1990-12-14 19:00:00","2021-09-24 23:25:42",0
"Pilot Brothers","2014-12-18 17:24:42","2021-08-31 10:13:45",4.99
"Pilot Brothers 2","2014-12-30 17:24:42","2021-03-27 00:53:48",4.99
"Pilot Brothers 3: Back Side Of The Earth","2015-01-22 17:24:42","2020-09-25 17:24:42",4.99
"Pinball Gold Pack","1996-01-03 17:24:21","2020-09-25 17:24:21",9.99
"Pinball World","1995-01-02 17:24:21","2020-09-25 17:24:21",5.99
"Pirates of Black Cove","2011-08-02 17:24:42","2020-09-25 17:24:42",9.99
"Planet Alcatraz","2009-10-09 17:24:14","2021-08-13 16:20:01",3.99
"Planets Under Attack","2012-09-27 17:24:42","2020-09-25 17:24:42",9.99
"Plumeboom: The First Chapter","2007-05-01 17:24:00","2021-02-24 16:46:50",2.99
"Post Mortem","2002-11-01 17:24:42","2020-09-25 17:24:42",9.99
"POSTAL 2: Fudge Pack","2003-04-14 17:23:58","2021-08-15 09:46:22",9.99
"POSTAL 2: Paradise Lost (DLC)","2015-04-17 11:00:00","2021-07-10 11:22:56",5.99
"POSTAL 1+2: YOUR MOM'S BOXSET","2003-04-14 11:00:00","2021-09-01 00:16:09",14.99
"POSTAL: Classic and Uncut","1997-11-14 17:23:58","2021-07-10 21:24:45",0
"Postal III","2011-12-21 12:00:00","2021-09-02 09:11:18",11.99
Praetorians,"2003-03-10 17:24:03","2020-09-25 17:24:03",5.99
Pressure,"2013-04-03 17:24:43","2020-09-25 17:24:43",9.99
"Puzzleventure FIRE","2015-04-09 17:24:20","2020-10-29 08:15:59",9.99
"Race Driver: GRID","2008-06-03 17:24:18","2021-09-05 12:13:06",14.99
"Radar Chaos","2011-04-26 17:24:51","2020-09-25 17:24:51",6.99
"Radar Chaos - Hawaii Edition","2012-11-22 17:24:51","2020-09-25 17:24:51",6.99
